"filename", "language", "Ignore", "JSON", "Properties", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "XML", "TypeScript JSX", "CSS", "HTML", "Docker", "comment", "blank", "total"
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\usersHook.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 2, 12, 106
"d:\Kyle\Projects\bpit-das-v2\frontend\src\hooks\virtualChannelsHook.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\Forms.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\account-settings\AccountSettings.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\account-settings\AccountSettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 6, 25, 219
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\UserDashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 12, 30
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\RegisterUserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 28, 217
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\DeleteUserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 12, 106
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\EditUserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 22, 187
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\TableColumn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\TableRows.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 5, 15, 70
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\UsersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 8, 30
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\account\pages\user-dashboard\components\Table\css\TableForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\links-group\NavbarLinksGroup.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\links-group\NavbarLinksGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 6, 65
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\navbar\NavbarNested.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\components\navbar\NavbarNested.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
